id,kind,title,release,rating,cast,cast_id,genres,duration,budget,worldwide_gross,summary,cover_url
111161,movie,The Shawshank Redemption,14-Oct-94,9.3,"Tim Robbins(Andy Dufresne), Morgan Freeman(Ellis Boyd 'Red' Redding), Bob Gunton(Warden Norton), William Sadler(Heywood), Clancy Brown(Captain Hadley)","0000209, 0000151, 0348409, 0006669, 0000317",Drama,142,"$25,000,000 (estimated)","$58,500,000","Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
68646,movie,The Godfather,24-Mar-72,9.2,"Marlon Brando(Don Vito Corleone), Al Pacino(Michael Corleone), James Caan(Sonny Corleone), Richard S. Castellano(Clemenza), Robert Duvall(Tom Hagen)","0000008, 0000199, 0001001, 0144710, 0000380","Crime, Drama",175,"$6,000,000 (estimated)","$245,066,411","The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.",https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
468569,movie,The Dark Knight,18-Jul-08,9,"Christian Bale(Bruce Wayne), Heath Ledger(Joker), Aaron Eckhart(Harvey Dent), Michael Caine(Alfred), Maggie Gyllenhaal(Rachel)","0000288, 0005132, 0001173, 0000323, 0350454","Action, Crime, Drama, Thriller",152,"$185,000,000 (estimated)","$1,004,558,444, 19 Jul 2012","Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@.jpg
71562,movie,The Godfather: Part II,02-May-20,9,"Al Pacino(Michael), Robert Duvall(Tom Hagen), Diane Keaton(Kay), Robert De Niro(Vito Corleone), John Cazale(Fredo Corleone)","0000199, 0000380, 0000473, 0000134, 0001030","Crime, Drama",202,"$13,000,000 (estimated)",NA,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
167260,movie,The Lord of the Rings: The Return of the King,06-Feb-04,8.9,"Noel Appleby(Everard Proudfoot), Ali Astin(Elanor Gamgee), Sean Astin(Sam), David Aston(Gondorian Soldier 3), John Bach(Madril)","0032370, 0040012, 0000276, 0040058, 0045324","Adventure, Drama, Fantasy",201,"$94,000,000 (estimated)","$1,119,929,521, 25 Nov 2011","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
110912,movie,Pulp Fiction,10-Sep-94,8.9,"Tim Roth(Pumpkin), Amanda Plummer(Honey Bunny), Laura Lovelace(Waitress), John Travolta(Vincent Vega), Samuel L. Jackson(Jules Winnfield)","0000619, 0001625, 0522503, 0000237, 0000168","Crime, Drama",154,"$8,000,000 (estimated)","$213,928,762","Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
108052,movie,Schindler's List,15-Dec-93,8.9,"Liam Neeson(Oskar Schindler), Ben Kingsley(Itzhak Stern), Ralph Fiennes(Amon Goeth), Caroline Goodall(Emilie Schindler), Jonathan Sagall(Poldek Pfefferberg)","0000553, 0001426, 0000146, 0328751, 0755974","Biography, Drama, History",195,"$22,000,000 (estimated)","$221,000,000","Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg
50083,movie,12 Angry Men,10-Apr-57,8.9,"Martin Balsam(Juror 1), John Fiedler(Juror 2), Lee J. Cobb(Juror 3), E.G. Marshall(Juror 4), Jack Klugman(Juror 5)","0000842, 0275835, 0002011, 0550855, 0001430","Crime, Drama",96,"$350,000 (estimated)",NA,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.",https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
1375666,movie,Inception,16-Jul-10,8.8,"Leonardo DiCaprio(Cobb), Joseph Gordon-Levitt(Arthur), Ellen Page(Ariadne), Tom Hardy(Eames), Ken Watanabe(Saito)","0000138, 0330687, 0680983, 0362766, 0913822","Action, Adventure, Sci-Fi, Thriller",148,"$160,000,000 (estimated)","$825,532,764, 06 Jan 2011","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg
137523,movie,Fight Club,15-Oct-99,8.8,"Edward Norton(The Narrator), Brad Pitt(Tyler Durden), Meat Loaf(Robert 'Bob' Paulsen), Zach Grenier(Richard Chesler), Richmond Arquette(Intern)","0001570, 0000093, 0001533, 0340260, 0037118",Drama,139,"$63,000,000 (estimated)","$71,000,000","A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. When the narrator is exposed to the hidden agenda of Tyler's fight club, he must accept the awful truth that Tyler may not be who he says he is.",https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
